name,coordinate
e3d5c101-6bb9-48af-ac80-08c73304456b.jpg,173_179_162_180;508_197_157_194
e3d5d8a4-9622-45fd-ac07-4e0fdc0ba97b.jpg,341_21_83_66;528_29_107_83;387_76_108_114;191_187_134_134;8_416_255_77;454_262_181_178;275_1_59_33
e3d6518e-b0f5-4b4f-bacd-6ee405424ca0.jpg,449_168_113_101;575_148_130_168;339_270_187_204;619_468_190_32
e3d65c80-cdc3-4097-a0ad-374cd2a45107.jpg,442_0_85_42;302_0_71_57;205_24_106_112;396_65_125_123;6_137_133_225;195_254_212_171;978_26_89_76
e3d6a72f-a64a-416f-a453-94ea81814ccf.jpg,33_10_85_64;1_30_79_111;193_26_118_74;887_0_171_174;761_155_305_218;835_0_53_44
a6f649c5-3f2b-494f-ac7a-d8cb769e8747.jpg,7_2_52_34;463_0_75_40;590_27_115_108;485_134_139_165;217_56_176_196
a6f6bf8c-cf39-4908-9dac-452207dfc25e.jpg,402_207_169_197;11_280_236_204;271_0_94_70;58_1_87_38;452_0_88_47
a6f98b70-64be-4835-b4bb-c11dcad3950a.jpg,196_0_77_45;338_136_125_133;578_350_217_150;1046_23_22_39;1044_73_23_45;1052_95_12_40
a6f9ce73-f52a-425d-a5bc-4af8980d7037.jpg,98_20_70_33;189_50_97_85;364_13_123_141;586_38_101_63;410_329_153_168;689_154_88_95;644_348_230_150;189_0_44_16
a6f9db85-46d3-41c4-bb2d-8a5f0c9afbe4.jpg,42_0_50_25;105_0_77_20;0_2_68_157;229_97_104_93;3_192_67_203;127_235_188_214;1028_0_37_11
a6fa7f3d-697a-4292-b42a-3936f19de906.jpg,895_65_135_92;58_116_150_121;571_190_149_183;896_329_173_171;528_1_62_32;1006_5_62_77
a6fb5706-db1b-4ea7-920f-dfd0657660ee.jpg,966_57_103_57;372_3_118_26;528_4_78_67;699_39_137_70;402_81_120_106;646_133_112_119;899_427_154_75;613_298_207_199;97_18_82_48;186_0_51_23;250_429_231_71
a6fcaaac-75fe-487e-acc6-dde7b23a952a.jpg,98_0_51_35;226_0_43_26;407_0_96_14;12_0_102_69;169_0_80_62;661_1_104_56;604_134_138_158;890_188_160_144;465_415_231_85;938_430_128_69;174_235_187_178
a6fe4eff-42db-43d8-857a-a9258c4b15f4.jpg,425_155_216_209;155_100_182_164
59b6ca68-92c6-48ec-94ff-48e38a76cee8.jpg,76_0_103_12;266_0_121_51;579_61_131_77;0_75_105_92;249_135_123_140;391_235_146_152;0_307_71_185;0_139_67_83
59b85cde-7997-44d2-8983-ef3e01e39cfc.jpg,15_0_42_25;77_7_78_40;181_1_97_36;737_16_133_57;802_1_133_55;618_35_148_83;850_75_152_72;130_88_90_72;335_93_116_120;21_137_189_203;510_0_51_24;573_0_69_24;897_460_172_40
59b9776b-a07a-4440-b110-bfe15c468f66.jpg,572_0_155_57;890_0_153_57;176_258_218_191;1026_0_39_19
59b9fffc-7812-4815-b628-023e352875da.jpg,320_0_61_10;111_0_106_75;164_20_106_95;0_68_40_107;62_110_166_114;208_257_176_183
59ba94ae-ab45-46e6-a052-24b49f7b82fb.jpg,682_111_152_121;297_429_207_61;691_226_178_197;337_203_215_205;472_1_68_20
59bac9a9-bda4-434c-98ef-e99652534897.jpg,100_12_61_38;5_31_68_78;70_83_89_71;0_199_133_134;216_277_177_172;157_0_44_8;317_0_43_16
59bace0e-b55a-403d-95a5-06809386f599.jpg,164_206_216_194;453_192_191_186;216_40_175_128
59bafba4-1f99-42ff-9641-9e2dea6750c7.jpg,909_17_149_63;67_34_110_88;264_32_85_88;0_140_100_165;153_267_201_202
59bb23e8-c3a5-4e99-99bf-4315f16d1283.jpg,205_2_106_63;439_0_118_55;561_30_110_112;144_225_221_187;446_215_179_170;615_1_72_14
59bbdaea-3742-432e-a73f-1eafec41b65d.jpg,395_0_94_43;453_71_96_102;650_74_132_69;634_172_141_129;179_373_221_124
59be2bb5-cb31-40fe-bc20-317340da26ed.jpg,364_0_48_23;585_3_60_45;118_9_86_64;141_27_82_60;289_31_84_74;466_37_78_65;598_44_78_68;452_108_90_87;666_118_122_96;419_302_176_175;778_288_206_166;66_0_83_63;470_3_70_38
59be33a7-08d5-444e-9200-10d4e53b7979.jpg,20_1_136_41;213_26_105_86;504_45_107_88;986_111_83_94;476_133_117_116;445_380_239_115;171_223_192_193
59bf0346-7a37-4260-b253-9b5034419730.jpg,188_169_206_170
59bf69ba-0ad7-41a7-960f-2789174366ed.jpg,406_89_124_115;1_168_78_139;747_173_150_153;355_238_167_176;760_316_222_174
59bf970d-1901-4e1b-907c-7e4b12c69f3e.jpg,321_207_137_194
59c163fa-32f8-4df4-a32d-bf0993780765.jpg,453_4_56_17;577_3_82_56;685_39_108_82;954_64_113_82;310_96_133_133;586_132_121_111;786_194_219_144;912_392_156_107;186_261_184_148;530_273_197_201
3048a7c0-d7d8-46f1-a271-d0014e90cf5d.jpg,291_0_60_16;516_4_50_18;90_15_90_54;440_46_86_82;594_30_85_69;9_66_130_120;372_164_138_145;599_234_141_154
30497888-5f6e-419b-ab67-4519bd30b9ac.jpg,298_0_129_53;0_30_71_78;278_49_101_76;473_29_79_66;867_27_127_89;249_147_134_122;701_134_131_99;522_235_170_141;133_386_205_116;452_0_107_29;653_0_117_11
304a1cbe-5044-43aa-be30-01127748e2dc.jpg,523_7_144_47;859_8_173_62;977_60_92_68;589_128_94_97;348_69_169_219;566_248_155_204;123_337_240_156;0_133_214_365
304b94d3-f39e-43f6-8e14-31d4e4b3d0dc.jpg,30_24_90_74;0_58_40_171;861_38_195_143;244_263_282_234
304c2f70-6f01-45b8-8be0-57e7f8679366.jpg,541_5_63_28;478_242_164_158
304c6c54-706d-4d39-b94c-05e46afb3536.jpg,298_3_67_32;188_0_72_49;645_52_101_90;516_236_168_150
304c8d76-eb44-4cc1-85ff-d41afa4c911f.jpg,25_14_62_21;672_14_43_34;761_22_58_57;674_62_66_78;221_231_161_159;415_248_180_249;650_1_36_13;1_2_20_13;0_30_33_29;944_2_79_19;914_1_42_12;1054_0_12_9
304d8e91-6b0e-4926-bd74-fd38c7da11f8.jpg,362_0_45_14;726_0_59_30;847_0_74_36;0_6_56_48;4_0_64_17
304da5d2-8c6e-4bac-9e0a-15955ced7c96.jpg,0_0_53_35;418_18_79_75;354_237_157_167;892_19_114_46
304dd800-86f7-4136-b221-61b4f28b59ea.jpg,975_0_92_44;776_0_166_38;292_60_75_58;0_140_43_91;317_124_111_79;64_101_204_151;150_259_190_150;933_0_53_28
304f5347-badc-4ff1-9e13-08c4471f4605.jpg,920_3_149_54;440_17_176_74;3_201_62_180;168_221_146_165;105_382_225_118;438_287_176_186
304faff1-945f-407e-8cef-7955d1dd1b17.jpg,125_131_109_130;198_44_84_88;222_1_74_39;354_0_69_28
304fc8c0-d715-4d55-8c23-a480843d673b.jpg,0_217_47_166;164_281_214_184;1018_0_47_11
3050cc81-cf2b-4c22-bf11-93733169f3d1.jpg,280_16_34_28;1010_2_59_41;244_41_49_48;316_33_71_51;222_83_68_88;0_192_67_125;506_34_253_353;507_21_50_29;508_3_36_19;492_0_28_17;428_24_75_40;399_13_45_29;377_0_26_19
30515b43-4ac2-413b-8a5b-3d612d3c1152.jpg,172_0_71_22;715_16_106_74;0_27_105_83;535_37_88_71;209_54_180_171;557_254_168_188;12_0_80_36
f2a6238d-a4b0-4d09-9ac5-040c63a64a22.jpg,177_0_74_24;274_0_111_64;435_11_82_64;533_52_97_85;385_99_105_95;566_200_159_172;0_73_198_169;306_228_189_197
f2a65c23-15c2-4b25-a9b7-78cad2d64d16.jpg,216_0_151_18;230_187_160_161;489_194_145_163;688_185_179_160
f2a8c5d6-5bd3-4f2c-96c7-467b2a0cfb9a.jpg,542_3_59_35;0_2_83_47;213_2_67_62;638_0_69_53;60_34_94_58;276_42_81_84;558_98_107_94;349_128_117_110;606_263_167_152;1018_295_52_130;184_0_46_15;269_0_38_26;299_0_63_42;366_0_35_15
f2a9fcb8-3b0c-461f-a406-e5d96b44abcf.jpg,0_0_38_31;272_1_55_17;355_0_45_24;89_1_90_52;84_47_93_92;536_49_72_53;283_253_185_178;990_0_79_38;954_0_56_14
f2aa48df-d079-46f3-af54-dc39e0bbe20a.jpg,104_0_166_35;655_14_79_73;376_205_138_155
f2abf51e-71e1-4093-bdf7-c53b46a5b707.jpg,0_2_59_61;990_0_79_31;116_77_94_71;713_392_256_108;677_126_153_195;189_257_183_143;974_2_42_16;964_0_19_12
f2ac3082-2c68-4b2e-8caa-de31bee9ff71.jpg,772_26_47_30;637_49_53_48;753_69_50_49;583_131_105_96;514_244_173_157;694_16_47_32;674_0_34_27;719_0_39_17;744_78_323_422;37_0_73_16;120_0_84_19;198_0_43_13
f2ad486a-bef7-48a7-8f1f-758dd506fa66.jpg,2_2_81_65;146_8_116_68;822_0_100_67;30_47_172_97;111_206_194_226;858_268_211_191;195_0_95_31
f2ae947f-1c87-4850-b781-66f6e340ce24.jpg,375_15_285_448
f2ae947f-58e2-49d0-9570-58746705bd8e.jpg,14_0_42_27;117_0_64_28;875_29_121_43;423_43_176_61;664_54_160_79;835_70_110_44;159_84_82_81;293_118_104_84;0_123_70_100;77_168_137_114;269_273_176_160;5_340_176_156;512_0_56_34;807_0_127_41;774_43_145_36;846_88_153_61
f2afb8a1-e495-4516-afe6-b70ff577bfb0.jpg,371_0_146_96;431_195_202_194
f2b10873-770e-47b4-b319-845604b8654d.jpg,122_17_50_38;184_0_38_24;461_17_43_36;270_37_57_43;1_22_78_44;365_68_67_63;492_51_108_61;225_87_78_64;624_122_181_66;2_114_62_136;407_133_100_93;179_171_124_114;640_205_142_98;917_261_152_106;379_270_147_137;776_398_268_99;122_0_44_18;19_0_56_28;1034_422_33_78;460_2_36_12
8bacefe3-446b-443c-b719-b68689a1b325.jpg,556_0_57_17;843_0_43_28;465_3_82_46;673_0_74_54;784_17_78_57;123_8_103_95;599_49_125_97;729_112_121_108;465_149_139_164;777_257_200_164;740_0_52_12;636_1_52_9;221_0_34_39
8badbed1-8b80-44bb-aac6-962d3ad95c8a.jpg,10_7_125_70;493_0_103_79;778_0_113_22;148_49_135_101;113_217_228_203;426_461_230_39
8bade2ce-d0aa-4c3e-a187-e0e7f91e09d4.jpg,292_243_173_162;1_0_59_22;222_0_55_10
8baf689b-2f41-4358-b259-6bcc9563921e.jpg,390_2_80_46;532_17_63_56;1002_1_67_23;577_90_88_80;564_264_163_166;557_0_54_19;856_0_44_24;913_0_41_15;959_0_54_10;962_24_107_45
8bb0513e-1ac4-47b4-8f8c-742e42d7513e.jpg,141_0_67_14;356_0_52_19;461_0_50_23;281_28_99_65;485_35_79_68;685_38_89_76;291_83_95_71;493_113_120_97;700_126_127_105;234_105_124_113;422_252_182_185;181_171_146_128;33_302_229_180
8bb07bc6-03dc-4c8e-b36e-2e02af682628.jpg,81_0_135_37;504_0_100_69;0_24_72_79;120_60_143_116;484_174_165_159;119_217_208_171
8bb1bc41-ea2e-4a0e-9b6f-e5de3961e6df.jpg,127_127_153_135;284_260_166_149
8bb284fb-cbfa-439a-9aca-605582aeb7f8.jpg,463_246_158_147;91_0_62_46;29_0_55_33
8bb2d162-4fec-4473-bc62-9ac4d3d252c9.jpg,540_33_156_121;799_39_157_92;321_63_96_94;673_210_189_205
8bb3938a-bb88-48ff-b386-606e87151661.jpg,359_212_171_206
8bb3a9c1-64d9-4113-b274-436b8fd62019.jpg,42_2_52_25;192_15_76_38;492_37_47_33;701_27_87_34;0_71_15_45;254_35_76_35;513_59_68_54;573_42_62_48;452_90_71_55;554_88_82_53;928_18_139_58;127_95_81_68;330_49_72_55;359_167_101_92;575_149_83_80;526_253_161_148;338_100_74_59;334_3_87_81;423_50_62_51;495_3_70_41;574_12_91_47
8bb4985c-0474-43ac-9474-b38e980cbb10.jpg,279_5_52_36;355_0_39_14;508_50_57_61;228_19_57_55;860_35_121_47;244_141_137_126;123_260_205_145;388_275_158_154;630_172_439_328;540_0_34_7
8bb4c4c9-75e4-48a6-aeec-dc1dc6dee203.jpg,534_97_170_189;589_430_148_60;366_0_45_19;326_1_34_13;329_254_142_159
8bb524a0-1757-427f-b1ae-0b3d876b6e7c.jpg,336_0_43_20;519_0_24_16;153_155_153_111;0_148_85_182;552_232_168_193;199_121_366_379;545_0_49_33;593_1_82_20
